"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Webb, Logan","657277","92.6","92.6","91",,"87.4",,,,"83.8",
"Nola, Aaron","605400","92.5","91.5","87.5",,"85.7","79.1",,,,
"Cease, Dylan","656302","96.9","98.1","91.9","87.7","69.7","82.3",,,"82.6",
"Wheeler, Zack","554430","95.3","94.6","91.1",,,"81.8","86.2",,"85",
"Ragans, Cole","666142","95.4","96.3","90.8","86","84.8","80.8",,,,
"Lugo, Seth","607625","92.2","92.1","90.1","86.7","87.4","79.8","85.8",,"81.7","78.7"
"Rodón, Carlos","607074","95.4","95.6","91.8","86.8","85.5","81",,,,
"Peralta, Freddy","642547","94.3","95.3",,"81.5","87.7","78.1",,,,
"Irvin, Jake","663623","93.9","93.3","89.9","85.9","88.4","81.1",,,,
"Gilbert, Logan","669302","96.6","95.5","92.3","88.4",,"83.2","84.5",,,
"Manaea, Sean","640455","92.2","92.5","88.4","85.1","85.3",,,,"77.7",
"Burnes, Corbin","669203","96.3","97","95.3","87.6","89.2","80.3",,,"84.2",
"Gore, MacKenzie","669022","96",,,"91.1","85.9","82.8",,,"86.3",
"López, Pablo","641154","95","94.5",,,"88.5","82.4",,,"84.5",
"Kirby, George","669923","96","96","92.3","87.2",,"83.4","86","73.9",,
"Singer, Brady","663903","91.7","92.2","82.8","83","88.1",,,,"82.1",
"Bassitt, Chris","605135","92.6","92.5","89.6","82.5","84.5","71","84.1",,"74.1",
"Kikuchi, Yusei","579328","95.5",,,"88.3","86.8","82.4",,,,
"Berríos, José","621244","94.1","93.4","91.4",,"84.8",,,,,"83.2"
"Anderson, Tyler","542881","89.5","88.1","84.3","81.3","78.9","71.6",,,,
"King, Michael","650633","93.7","92.9",,"85.7","86.7",,,,"82",
"Fedde, Erick","607200","93.1","93","89.9",,"87.7",,,,"83.5",
"Severino, Luis","622663","96.2","95.6","92.6","86.8","86.1",,,,"85.1",
"Brown, Hunter","686613","96","95.6","92.4","89.2","88.4","82.9",,,,
"Corbin, Patrick","571578","91.2","91.5","85.7","80","81","69.7",,,,
"Canning, Griffin","656288","93.4","92.7",,"87.7","88.6","80.5",,,,
"Gausman, Kevin","592332","94","93.2",,"82.7",,,"86",,,
"Castillo, Luis","622491","95.6","95.6",,"85.7","88.1",,,,,
"Sears, JP","676664","91.9","90",,"79.3","84",,,,"78.7",
"Bibee, Tanner","676440","94.6","93.9","86.5","83.2","82.5","80.6",,,,
"Cortes, Nestor","641482","92","90.2","87.5","81.7","83.6",,,,"78.1",
"Keller, Mitch","656605","94.5","93.3","90.4","87.5","89.8","78.4",,,"82.9",
"Skubal, Tarik","669373","96.9","96.6",,"88.7","86.3","78.5",,,,
"Crawford, Kutter","676710","92.6",,"87.5",,,"77.3","82.4",,"80.8",
"Quintana, Jose","500779","90.7","90.8",,,"85.7","77.6",,,,"77.9"
"Sale, Chris","519242","94.9","94.1",,"78.6","87.1",,,,,
"Flexen, Chris","623167","91.3","91.9","87.4","80.1","81.3","72",,,,
"Sánchez, Cristopher","650911",,"94.5","86.5","84.4","85.1",,,,,
"Pfaadt, Brandon","694297","93.8","93.7",,,"87.5","80.8","89.6",,"84.8",
"Morton, Charlie","450203","94.1","93.6","88.5",,"85","81.5",,,,
